AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-475,15:42:44.57,26:17:44.2,38,V,3.814,0.013,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-475,15:42:44.57,26:17:44.2,38,B,3.815,0.0256,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-775,15:57:35.25,26:52:40.4,41,V,4.14,0.013,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-775,15:57:35.25,26:52:40.4,41,B,5.371,0.023,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-903,16:02:17.69,22:48:16.0,48,V,4.827,0.004,BINO_COMP.
000-BBW-903,16:02:17.69,22:48:16.0,48,B,4.892,0.0098,BINO_COMP.
000-BBX-094,16:10:03.91,26:44:33.9,66,V,6.572,0.1,
000-BBX-094,16:10:03.91,26:44:33.9,66,B,7.629,0.1729,
000-BBW-936,16:04:03.69,25:15:17.3,71,V,7.099,0.023,BINO_COMP
000-BBW-936,16:04:03.69,25:15:17.3,71,B,7.869,0.0402,BINO_COMP
000-BBX-096,16:10:06.46,25:29:16.0,74,V,7.412,0.026,
000-BBX-096,16:10:06.46,25:29:16.0,74,B,8.346,0.0608,
000-BBW-559,15:47:40.83,28:28:10.4,75,V,7.465,0.024,BINO_COMP
000-BBW-559,15:47:40.83,28:28:10.4,75,B,7.918,0.0449,BINO_COMP
000-BKS-233,15:55:25.81,29:32:13.5,76,V,7.633,0.013,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BKS-233,15:55:25.81,29:32:13.5,76,B,7.695,0.0256,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BBW-657,15:52:30.86,28:54:47.9,78,V,7.806,0.014,BINO_COMP
000-BBW-657,15:52:30.86,28:54:47.9,78,B,9.022,0.0278,BINO_COMP
000-BBW-881,16:01:03.91,26:10:20.7,79,V,7.886,0.032,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,B,8.327,0.0654,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BKC-031,16:12:25.16,26:25:52.9,79,V,7.897,0.032,
000-BKC-031,16:12:25.16,26:25:52.9,79,B,8.956,0.0654,
000-BMZ-307,15:52:21.51,28:36:26.6,79,V,7.914,0.032,
000-BMZ-307,15:52:21.51,28:36:26.6,79,B,9.168,0.0654,
000-BPX-082,15:58:34.91,26:32:35.0,81,V,8.133,0.032,BINO_COMP.
000-BPX-082,15:58:34.91,26:32:35.0,81,B,9.175,0.0662,BINO_COMP.
000-BKC-032,16:10:57.18,26:23:54.7,82,V,8.173,0.016,HD 145627 - ROT: - V= 8.17
