AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-312,15:34:41.19,26:42:53.7,22,V,2.232,0.008,BINO_COMP. Alf CrB - EA - V= 2.22-2.32. ONLY FOR VISUAL USE (or check it is not in eclipse).
000-BBW-312,15:34:41.19,26:42:53.7,22,B,2.209,0.0153,BINO_COMP. Alf CrB - EA - V= 2.22-2.32. ONLY FOR VISUAL USE (or check it is not in eclipse).
000-BBX-576,16:30:13.26,21:29:22.7,28,V,2.781,0.015,BINO_COMP.  bet Her - ROT: - V= 2.77 - 2.80. Only for visual use.
000-BBX-576,16:30:13.26,21:29:22.7,28,B,3.715,0.0275,BINO_COMP.  bet Her - ROT: - V= 2.77 - 2.80. Only for visual use.
000-BBW-196,15:27:49.73,29:06:20.5,37,V,3.678,0.013,BINO_COMP. bet CrB - ACV - V= 3.65 - 3.69. Only for visual use.
000-BBW-196,15:27:49.73,29:06:20.5,37,B,3.953,0.0247,BINO_COMP. bet CrB - ACV - V= 3.65 - 3.69. Only for visual use.
000-BBX-391,16:21:55.21,19:09:11.3,37,V,3.75,0.1,
000-BBX-391,16:21:55.21,19:09:11.3,37,B,4.02,0.1729,
000-BBW-475,15:42:44.57,26:17:44.2,38,V,3.814,0.013,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-475,15:42:44.57,26:17:44.2,38,B,3.815,0.0256,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-775,15:57:35.25,26:52:40.4,41,V,4.14,0.013,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-775,15:57:35.25,26:52:40.4,41,B,5.371,0.023,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-453,15:41:33.06,19:40:13.5,45,V,4.516,0.014,"BINO_COMP. iot Ser - DSCT - V= 4.516, ampl 0.004 TESS."
000-BBW-453,15:41:33.06,19:40:13.5,45,B,4.559,0.0261,"BINO_COMP. iot Ser - DSCT - V= 4.516, ampl 0.004 TESS."
000-BBW-903,16:02:17.69,22:48:16.0,48,V,4.827,0.004,BINO_COMP.
000-BBW-903,16:02:17.69,22:48:16.0,48,B,4.892,0.0098,BINO_COMP.
000-BBW-887,16:01:26.57,29:51:03.8,50,V,4.987,0.009,BINO_COMP
000-BBW-887,16:01:26.57,29:51:03.8,50,B,4.926,0.0192,BINO_COMP
000-BBX-587,16:30:33.55,20:28:45.1,52,V,5.25,0.1,
000-BBX-587,16:30:33.55,20:28:45.1,52,B,6.54,0.1729,
000-BBW-699,15:54:34.61,20:18:39.5,54,V,5.439,0.006,BINO_COMP. QY Ser - LB - V= 5.42 - 5.46. ONLY FOR VISUAL USE.
000-BBW-699,15:54:34.61,20:18:39.5,54,B,7.026,0.0117,BINO_COMP. QY Ser - LB - V= 5.42 - 5.46. ONLY FOR VISUAL USE.
000-BBW-496,15:43:59.30,32:30:56.9,56,V,5.56,0.1,BINO_COMP
000-BBW-496,15:43:59.30,32:30:56.9,56,B,6.62,0.1729,BINO_COMP
000-BBX-213,16:15:28.63,18:48:29.1,57,V,5.69,0.1,
000-BBX-213,16:15:28.63,18:48:29.1,57,B,6.81,0.1729,
000-BBW-457,15:41:54.71,18:27:50.5,58,V,5.81,0.1,
000-BBW-457,15:41:54.71,18:27:50.5,58,B,6.01,0.1729,
000-BBX-242,16:16:44.79,29:09:00.9,58,V,5.784,0.019,BINO_COMP
000-BBX-242,16:16:44.79,29:09:00.9,58,B,5.843,0.0364,BINO_COMP
000-BBX-616,16:31:13.43,22:11:43.6,58,V,5.76,0.1,
000-BBX-616,16:31:13.43,22:11:43.6,58,B,7.37,0.1729,
000-BBX-344,16:20:04.28,21:07:57.4,60,V,6.05,0.1,
000-BBX-344,16:20:04.28,21:07:57.4,60,B,6.99,0.1729,
000-BBX-028,16:07:22.18,21:49:21.4,61,V,6.14,0.1,
000-BBX-028,16:07:22.18,21:49:21.4,61,B,7.51,0.1729,
000-BBW-156,15:25:53.27,19:28:50.5,63,V,6.27,0.1,
000-BBW-156,15:25:53.27,19:28:50.5,63,B,6.87,0.1729,
000-BBW-218,15:30:22.77,31:17:09.4,65,V,6.46,0.1,
000-BBW-218,15:30:22.77,31:17:09.4,65,B,6.65,0.1729,
000-BBW-384,15:36:53.43,29:59:28.3,65,V,6.466,0.1,
000-BBW-384,15:36:53.43,29:59:28.3,65,B,6.878,0.1729,
000-BBW-863,16:00:42.52,31:34:05.7,66,V,6.615,0.015,BINO_COMP
000-BBW-863,16:00:42.52,31:34:05.7,66,B,7.705,0.0258,BINO_COMP
000-BBX-094,16:10:03.91,26:44:33.9,66,V,6.572,0.1,
000-BBX-094,16:10:03.91,26:44:33.9,66,B,7.629,0.1729,
000-BBW-473,15:42:40.61,31:42:31.5,67,V,6.715,0.1,
000-BBW-473,15:42:40.61,31:42:31.5,67,B,8.104,0.1729,
000-BBW-979,16:05:45.12,32:14:52.0,67,V,6.704,0.1,
000-BBW-979,16:05:45.12,32:14:52.0,67,B,8.232,0.1729,
000-BBX-179,16:13:07.95,21:33:58.3,67,V,6.698,0.1,
000-BBX-179,16:13:07.95,21:33:58.3,67,B,6.835,0.1729,
000-BBX-292,16:18:23.66,25:53:48.1,67,V,6.68,9.999,BINO_COMP.
000-BBX-292,16:18:23.66,25:53:48.1,67,B,7.59,17.319,BINO_COMP.
000-BBX-367,16:21:10.71,22:14:23.4,69,V,6.901,0.1,
000-BBX-367,16:21:10.71,22:14:23.4,69,B,8.16,0.1729,
000-BBX-464,16:25:15.85,19:14:23.0,70,V,7.007,0.1,
000-BBX-464,16:25:15.85,19:14:23.0,70,B,8.681,0.1729,
000-BBX-544,16:28:52.66,18:24:50.6,70,V,6.985,0.1,
000-BBX-544,16:28:52.66,18:24:50.6,70,B,7.822,0.1729,
000-BBW-936,16:04:03.69,25:15:17.3,71,V,7.099,0.023,BINO_COMP
000-BBW-936,16:04:03.69,25:15:17.3,71,B,7.869,0.0402,BINO_COMP
000-BBX-176,16:12:51.46,19:06:05.6,71,V,7.082,0.032,
000-BBX-176,16:12:51.46,19:06:05.6,71,B,8.58,0.0671,
000-BBX-389,16:21:51.99,21:48:44.0,71,V,7.082,0.1,
000-BBX-389,16:21:51.99,21:48:44.0,71,B,8.298,0.1729,
000-BBW-214,15:29:50.69,18:29:59.5,72,V,7.211,0.1,
000-BBW-214,15:29:50.69,18:29:59.5,72,B,8.275,0.1729,
000-BBW-480,15:43:14.36,31:23:04.5,73,V,7.255,0.032,
000-BBW-480,15:43:14.36,31:23:04.5,73,B,7.723,0.0654,
000-BBX-537,16:28:37.89,19:01:07.1,73,V,7.251,0.1,
000-BBX-537,16:28:37.89,19:01:07.1,73,B,8.172,0.1729,
000-BPW-460,16:12:17.50,32:39:19.3,73,V,7.341,0.032,
000-BPW-460,16:12:17.50,32:39:19.3,73,B,8.401,0.0654,
000-BBW-644,15:52:02.26,29:52:54.0,74,V,7.357,0.1,
000-BBW-644,15:52:02.26,29:52:54.0,74,B,8.871,0.1729,
000-BBX-096,16:10:06.46,25:29:16.0,74,V,7.412,0.026,
000-BBX-096,16:10:06.46,25:29:16.0,74,B,8.346,0.0608,
000-BBX-428,16:23:04.58,19:30:21.3,74,V,7.381,0.032,
000-BBX-428,16:23:04.58,19:30:21.3,74,B,7.561,0.0654,
000-BBW-176,15:26:30.15,28:07:39.1,75,V,7.462,0.032,
000-BBW-176,15:26:30.15,28:07:39.1,75,B,8.803,0.0662,
000-BBW-559,15:47:40.83,28:28:10.4,75,V,7.465,0.024,BINO_COMP
000-BBW-559,15:47:40.83,28:28:10.4,75,B,7.918,0.0449,BINO_COMP
000-BKS-233,15:55:25.81,29:32:13.5,76,V,7.633,0.013,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BKS-233,15:55:25.81,29:32:13.5,76,B,7.695,0.0256,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BBX-690,16:33:09.85,23:07:03.1,77,V,7.724,0.039,
000-BBX-690,16:33:09.85,23:07:03.1,77,B,8.967,0.0767,
000-BBW-657,15:52:30.86,28:54:47.9,78,V,7.806,0.014,BINO_COMP
000-BBW-657,15:52:30.86,28:54:47.9,78,B,9.022,0.0278,BINO_COMP
000-BBW-881,16:01:03.91,26:10:20.7,79,V,7.886,0.032,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,B,8.327,0.0654,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBX-436,16:24:00.61,19:38:04.4,79,V,7.859,0.053,
000-BBX-436,16:24:00.61,19:38:04.4,79,B,8.615,0.0985,
000-BBX-596,16:30:41.19,18:38:02.7,79,V,7.943,0.056,
000-BBX-596,16:30:41.19,18:38:02.7,79,B,8.348,0.1035,
000-BKC-031,16:12:25.16,26:25:52.9,79,V,7.897,0.032,
