AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-312,15:34:41.19,26:42:53.7,22,V,2.232,0.008,BINO_COMP. Alf CrB - EA - V= 2.22-2.32. ONLY FOR VISUAL USE (or check it is not in eclipse).
000-BBW-312,15:34:41.19,26:42:53.7,22,B,2.209,0.0153,BINO_COMP. Alf CrB - EA - V= 2.22-2.32. ONLY FOR VISUAL USE (or check it is not in eclipse).
000-BBX-576,16:30:13.26,21:29:22.7,28,V,2.781,0.015,BINO_COMP.  bet Her - ROT: - V= 2.77 - 2.80. Only for visual use.
000-BBX-576,16:30:13.26,21:29:22.7,28,B,3.715,0.0275,BINO_COMP.  bet Her - ROT: - V= 2.77 - 2.80. Only for visual use.
000-BBW-196,15:27:49.73,29:06:20.5,37,V,3.678,0.013,BINO_COMP. bet CrB - ACV - V= 3.65 - 3.69. Only for visual use.
000-BBW-196,15:27:49.73,29:06:20.5,37,B,3.953,0.0247,BINO_COMP. bet CrB - ACV - V= 3.65 - 3.69. Only for visual use.
000-BBX-391,16:21:55.21,19:09:11.3,37,V,3.75,0.1,
000-BBX-391,16:21:55.21,19:09:11.3,37,B,4.02,0.1729,
000-BBW-475,15:42:44.57,26:17:44.2,38,V,3.814,0.013,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-475,15:42:44.57,26:17:44.2,38,B,3.815,0.0256,BINO_COMP. gam CrB - ELL - V= 3.805 - 3.822. ONLY FOR VISUAL USE.
000-BBW-775,15:57:35.25,26:52:40.4,41,V,4.14,0.013,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-775,15:57:35.25,26:52:40.4,41,B,5.371,0.023,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-453,15:41:33.06,19:40:13.5,45,V,4.516,0.014,"BINO_COMP. iot Ser - DSCT - V= 4.516, ampl 0.004 TESS."
000-BBW-453,15:41:33.06,19:40:13.5,45,B,4.559,0.0261,"BINO_COMP. iot Ser - DSCT - V= 4.516, ampl 0.004 TESS."
000-BBW-903,16:02:17.69,22:48:16.0,48,V,4.827,0.004,BINO_COMP.
000-BBW-903,16:02:17.69,22:48:16.0,48,B,4.892,0.0098,BINO_COMP.
000-BBW-887,16:01:26.57,29:51:03.8,50,V,4.987,0.009,BINO_COMP
000-BBW-887,16:01:26.57,29:51:03.8,50,B,4.926,0.0192,BINO_COMP
